body,language,method_id,title
"<p><a id=""Participants"" name=""Participan",en,145,21st Century Town Meeting
"<p><a id=""Definition"" name=""Definition"">",en,146,Participatory Budgeting
<p>Deliberative Polling is a unique form,en,147,Deliberative Polling
"<p><a class=""external text"" href=""http:/",en,148,Citizen Councilor Network
"<a name=""Definition"" id=""Definition""></a",en,149,Forum Theatre
"<p>Collaborative governance is a young, ",en,150,Collaborative Governance
"<ul><li><a href=""#Synopsis"">Synopsis</a>",en,151,Practical Democracy
,en,152,Community Auditing
,en,153,Schools of Participation
"<p>A civic lottery, a popular term for t",en,154,Civic Lottery
"<p><a id=""Definition"" name=""Definition"">",en,155,Citizens' Jury
<p>“Choosing Healthplans All Together” (,en,156,Simulation Exercise
"<a name=""Definition"" id=""Definition""></a",en,157,Participatory consensus conferences
<p>Thorough documentation will follow. <,en,158,WE-DECIDE
"<a name=""Definition"" id=""Definition""></a",en,159,New England Town Meetings
"<p><a id=""Definition"" name=""Definition"">",en,160,Planning Cells
"<a name=""Definition"" id=""Definition""></a",en,161,Asset-Based Community Development
<p>“The public hearing is perhaps the mo,en,162,Public Hearing
"<p> </p><p><a id=""The_Imperative_Signifi",en,163,Consensus Conference
<h3>Definition</h3><p>The initiative pro,en,164,Initiative Process
<p>The Oregon Health Decisions organizat,en,165,Oregon Health Decisions
<h3>Definition</h3><p>University Student,en,166,University Student Government
"<a name=""Definition"" id=""Definition""></a",en,167,The World Cafe
"<p><a id=""Definition"" name=""Definition"">",en,168,National Issues Forum
"<a name=""Definition"" id=""Definition""></a",en,169,Parliamentary Procedure
"<p><a id=""Definition"" name=""Definition"">",en,170,Citizen Advisory Board
"<p><a id=""Definition.2FProcess"" name=""De",en,171,Communities Creating Racial Equity Initiative
"<a name=""Definition"" id=""Definition""></a",en,172,We the People: The Citizen and the Constitution
"<a href=""http://heliosvoting.org/"" class",en,173,"End to end auditable voting system ""Helios"""
<p> </p><p>Definition  </p><p>A Social F,en,174,Social Forum
"<p><a class=""external text"" href=""http:/",en,175,E-Democracy Centre
"<p>A <a class=""external text"" href=""http",en,176,Deliberative Democracy and Citizens' Juries
"<p> --<a href=""http://beyondvoting.wikia",en,177,Delegated Voting
"<a name=""Definition"" id=""Definition""></a",en,179,Pop-up Democracy
"<p><a id=""Definition"" name=""Definition"">",en,180,Cabildo Abierto
"<p><a id=""Definition"" name=""Definition"">",en,181,S
"<p><a id=""Definition"" name=""Definition"">",en,182,Deliberation day
<p>Crowdsourcing is a new phenomenon in ,en,183,Crowdsourcing
"<a name=""Definition"" id=""Definition""></a",en,184,Conversation Cafes
"<p><a id=""Definition"" name=""Definition"">",en,185,Robert's Rules of Order
<p>Washington State uses the initiative ,en,186,Washington State Initiative Process
"<a name="""" id=""""></a><h1>Definition:</h1",en,187,Kgotla (public assembly)
"<p><a id=""Definition"" name=""Definition"">",en,188,Study Circles
"<a name=""Definition"" id=""Definition""></a",en,189,European Local Democracy Week
"<p> </p> <a name=""Definition"" id=""Defini",en,190,Jury
"<p><a name=""Top"" id=""Top""></a></p>conten",en,191,Direct Democracy
<p>Blueprint for a new confederation </p,en,192,"As the People Want It, Blueprint for a new confederation"
<p>Demarchy (or lottocracy) is a form of,en,194,Demarchy
"<p>Electronic <a href=""/methods/direct-d",en,195,Electronic Direct Democracy
"<p>Welcome to the <a class=""external tex",en,196,Liquid Democracy
,en,197,Organizational Learning
,en,198,BürgerInnen-Rat
**Definition** **Problems and Purpose** ,en,387,Petition
"<h3>Definition</h3><p><a href=""http://en",en,399,ConsiderIt
<h3>Definition</h3><p> </p><h3>Problems ,en,428,Magic Roundtables
<h3>Definition</h3><p>Agora 2.0 is a gro,en,441,Agora 2.0
<h3>Definition</h3><p> </p>The Wikivote ,en,448,Wikivote 
"<p> </p><p class=""CCPHbody"">Community-ba",en,457,Community-based participatory research
,en,459,Service-learning
<h3>Definition</h3><p> </p><h3>Problems ,en,474,Project I-democracy
<h3>Definition</h3><p>Global e-Society C,en,484,Globplex
<h3>Definition</h3><p>Echo is a joint <a,en,514,Living Democracy - www.echo.to
<h3>Definition</h3><p><strong>Occupy Van,en,518,Spokes Council - Occupy Vancouver
<h3>Definition</h3><p>A workers’ council,en,520,Workers' Council
<h3>Definition</h3><p>VoterMedia is an i,en,521,VoterMedia
<h3>Definition</h3><p>Democs (Deliberati,en,1278,Democs
<h3>Definition</h3><p>A Scenario Worksho,en,529,Scenario Workshop
<h3><strong>Definition</strong></h3><p>M,en,530,Model United Nations
<h3>Definition</h3><p>Habitat Conservati,en,538,Habitat Conservation Planning in the U.S.
<h3>Definition</h3><p>ConsiderIt is an i,en,540,ConsiderIt
"<h3>Definition</h3><p>In 2000, the Minis",en,543,Japanese Consensus Conference
<h3>Definition</h3><p>The Occupy Movemen,en,547,THE OCCUPY MOVEMENT'S USE OF SOCIAL MEDIA AS AN ORGANIZING METHOD
<h3>Definition</h3><p> </p><h3>Problems ,en,559,European Awareness Scenario Workshop (EASW)
<h3>Definition</h3><p>The term deliberat,en,560,Deliberation
,en,565,Surveys
,en,566,Q&A with experts
"<h3> </h3><p class=""image-right""><img al",en,580,Real Time Voting 
<h3>Definition</h3><p>A Citizens’ Initia,en,592,Citizens' Initiative Review
<h3>Definition</h3><p>Choicework Dialogu,en,598,Choicework Dialogue
<br /><h3>Definition</h3><p>Community or,en,622,Community Organizing
<h3>Definition</h3><p>A Constitution is ,en,629,Constitution
<h3>Definition</h3><p>Citizens elect rep,en,626,Representative Democracy
<h3>Definition</h3><p>Term limits are a ,en,627,Term limits
<h3>Definition</h3><p>Participatory demo,en,628,Participatory democracy
<h3>Definition</h3><p>Citizen Dialogue -,en,631,Citizen Dialogue
<h3>Definition</h3><p> </p><h3>Problems ,en,635,Citizens' Reference Panel
<h3>Definition</h3><p>Representative Tow,en,639,Representative Town Meeting
<h3>Definition</h3><p>Continuious market,en,650,noddr market democracy
<p><strong>This is a stub. We need a gen,en,688,Consensus
<h3>Definition</h3>Citizen Conferences a,en,727,Citizen Conferences
<h3>Definition</h3><p>Online consultatio,en,733,Online Consultations
Update February 2015: the e-Deliberation,en,775,e-Deliberation™
<h3><u>Definition</u></h3><p>The Pittsfi,en,736,"New Hampshire Public Conversations on School Redesign and Student-centered Learning: Pittsfield, NH"
<p>This is a stub. Here is a description,en,794,Strike
<h6>This article is a stub. We invite yo,en,799,Delphi Method
<p><em>The original version of this entr,en,1550,Bungeni Parliamentary and Legislative Information System
<p>This is a stub. Please feel free to w,en,985,Stakeholder Group Process
<h3>Definition</h3><p> </p><p>Les méthod,en,1154,"La Démocratie délibérative, outil pour renforcer la cohésion sociale en Europe ? A travers l’étude des Plans de cohésion sociale en région wallonne. "
<h3>Definition</h3><p> </p><h3>Problems ,en,855,Zilino
<h3>Introduction</h3><p>Since the emerge,en,1257,Deebase - e-deliberation made easy
<h3>Definition</h3><p>Dynamic Facilitati,en,1692,Dynamic Facilitation
"<p class=""MsoNormal"">Neighbourhood counc",en,1587,Québec city neighbourhood councils
"<p class=""MsoNormal"">The Right of Initia",en,1588,The Right of Initiative to public consultations 
<p><strong>Definition</strong></p><p>A c,en,2840,Charrette
"<h3>Definition</h3><p>In 2005, Stephen C",en,3431,Direct Representation (Minimal Coleman)
<h3>Definition</h3><p>An electoral distr,en,4241,Electoral District Forum
<p>The following is a suggested structur,en,4232,Online deliberation
<p>Definition This Guide is intended to ,en,4146,Guide to Evaluating Participatory Processes
<p><strong>Sociocracy</strong> is a whol,en,4149,Sociocracy
<p><strong>Dynamic Governance</strong> i,en,4150,Dynamic Governance
<h3>Problems and Purpose</h3><p>Every fa,en,4317,"Motiemarkt ""Motion-Market"""
<p>This writing should outline a Stable ,en,4206,Agora Ekklesia
<p><strong>Definition</strong></p><p>A n,en,4175,Evaluating the efficiency of participation
<p>This is a stub. Please help us flesh ,en,4258,Citizens’ Assembly
<p>Current collective innovation technol,en,4286,Deliberatorium
<h3>Definition</h3><p> </p><h3>Problems ,en,4307,Yanjian Model of Participatory Budgeting
<p> </p><h3>Definition</h3><p> </p><h3>P,en,4298,Civic Education
<h3>Definition</h3><p>The ‘doparie’ is a,en,4299,Doparie
<h3>Definition</h3><p> </p><h3>Problems ,en,4304,Election Monitoring
<h3>Definition</h3><p>While the concept ,en,4305,Neighborhood Councils
<h3>Definition</h3><p>Online voting – or,en,4313,Online Voting
<h3>Definition</h3><p>Open source softwa,en,4314,DemocracyOS
<h3>Definition</h3><p> </p><h3>Problems ,en,4319,Nepalese Participatory Planning 
"<h3>Definition</h3><p>Rosario, Argentia<",en,4322,Youth Participatory District Councils
<h3>Definition</h3><p>Democratic educati,en,4324,Democratic Education
<strong>Citizen Budget</strong> is an in,en,4327,Citizen Budget
<h3>Definition</h3><p> </p><h3>Problems ,en,4328,Internet Communications Technologies (ICT)
<h3>Definition</h3><p>Machizukuri has ex,en,4343,Machizukuri
<h3>Problems and Purpose</h3><p>The Euro,en,4344,European Citizens' Initiative
"<p><em>The following is a stub, please h",en,4345,Policy Forum
<p>The following is a suggested structur,en,4349,Collaborative Design
<p><em>Note: this article is a stub and ,en,4352,Pattern Language
<h2><strong>Description of Black Sash CB,en,4357,The Black Sash Model of Community Based Monitoring (CBM)
<p>(Note: This article is a stub and req,en,4380,Collaborative Planning
<p>(Note: This article is a stub and req,en,4381,Ecosystem-based Management
<p>1st. version 05/16 by <em>Marjorie Co,en,4395,Audiências Públicas no Supremo Tribunal Federal
<p>1st version 05/16 by Eleonora Schetti,en,4400,Conselhos De Políticas Públicas
<p>1st version by Eduardo Moreira da Sil,en,4403,Os conselhos da criança e do adolescente no Brasil
<p>The following is a suggested structur,en,4413,The Matrix Vote
<p>The following is a suggested structur,en,4419,Digital Deliberation
<p><em>Note: the following article is a ,en,4426,Protest
<p><em>Note: this entry is based on the ,en,4434,Speed Dialogue
<p><em>Note: the following article is a ,en,4451,Participatory Arts
<p><strong>Definition</strong></p><p>A k,en,4467,Kitchen Table Conversations
<p><em>Note: the following article is a ,en,4546,Community Health Care
<h3>Definition</h3><p>CiviComment is the,en,4526,CiviComment
<p><em>Note: the following article needs,en,4534,Participatory Reflection and Action
<p><em>The following article is a stub. ,en,4537,Multi-criteria Decision Analysis
