best_for,communication_mode,decision_method,facilitated,governance_contribution,id,issue_interdependency,issue_polarization,issue_technical_complexity,kind_of_influence,method_of_interaction,original_language,post_date,public_interaction_method,published,typical_funding_source,typical_sponsoring_entity,updated_date
Achieving Public Goods,Dialogue,,Yes,Agenda Formation,145,3 - Sometimes Interdependent on Other Issues,4 - Polarized,3 - Somewhat Complex,Consultation (i.e. to advise decision makers),,en,2009-07-30T01:44:19,,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2011-12-25T04:54:17
Achieving Public Goods,,,No,Decision-Making,146,3 - Sometimes Interdependent on Other Issues,2 - Not Very Polarized,,Make public decisions (i.e. exert direct authority),Face to Face,en,2009-08-22T13:37:02,,Yes,,"Local Government (e.g. Village, Town, City)",2015-03-12T16:42:50
Providing Social Goods,,Aggregation of Individual Preferences to Create Survey Data,Yes,Preference Articulation,147,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,"Develop individual capacities (e.g. skills, learning)",Questionaries; Focus Groups; Plenary Sessions,en,2009-11-07T06:49:19,Expert Analysis; Media Releases; Legislative Agenda Setting,Yes,,Community Based Organization,2013-12-13T18:24:31
Achieving Public Goods,,Participants express their collective opinions (through the final Auditor&#039;s report) to county government for their internal consideration and analysis.,No,Conflict Resolution,148,4 - Often Interdependent with Other Issues,4 - Polarized,,Raise public awareness,Numerous face-to-face small group dialogues of 4-12 people each,en,2009-12-09T09:18:32,Public presentation to county government; County Auditor releases report of opinions and values of participants; press release to local media; independent media coverage; Twitter and Facebook updates,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-21T22:28:11
Providing Social Goods,or Deliberation,Vote; Community Scribe,Yes,Preference Articulation,149,4 - Often Interdependent with Other Issues,4 - Polarized,,Raise public awareness,,en,2009-11-15T04:05:54,Press Office; Social Networks,Yes,,Community Based Organization,2011-12-13T22:50:26
Achieving Public Goods,or Deliberation,Voting geared toward consensus-development; sometimes in discreet stages,No,Preference Articulation,150,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),Online deliberation and consensus-building,en,2010-02-08T00:36:53,Open websites,Yes,,Other,2011-12-13T22:50:26
Achieving Public Goods,Dialogue,Consensus; voting when consensus is not attained,No,Implementation,151,5 - Always Tied to Other Issues,4 - Polarized,,Make public decisions (i.e. exert direct authority),Face-to-Face,en,2010-02-22T00:13:41,Announcement of results at each level,Yes,,"Local Government (e.g. Village, Town, City)",2014-10-18T14:30:57
,,,No,,152,,,,,,en,2010-01-18T04:56:17,,Yes,,,2011-12-13T22:50:26
,,,No,,153,,,,,,en,2010-04-19T12:22:42,,Yes,,,2011-12-13T22:50:26
,,,No,,154,,5 - Very Polarized,,,Mail,en,2010-02-24T04:24:40,,Yes,,,2011-12-13T22:50:26
Achieving Public Goods,or Deliberation,,Yes,Agenda Formation,155,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Consultation (i.e. to advise decision makers),,en,2010-05-22T00:06:50,Results are communicated through a public hearing and a written report is available to the public and media.,Yes,,"Local Government (e.g. Village, Town, City)",2013-07-27T11:39:45
Distributing Individual Material Goods,Discussion,Consensus,Yes,Preference Articulation,156,5 - Always Tied to Other Issues,4 - Polarized,,Consultation (i.e. to advise decision makers),Facilitated group simulation exercise (&amp;quot;serious game&amp;quot;),fr,2010-05-11T01:44:05,Varies,Yes,,Academic Institution,2016-06-06T13:19:20
Achieving Public Goods,,Consensus,Yes,,157,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Raise public awareness,Effective communication with experts and lay citizens,en,2010-05-22T00:30:28,The Press,Yes,,National Government,2011-12-13T22:50:26
Distributing Individual Material Goods,,Proxy-voting on highest value proposals at given intervals. Highest-valued proposals from the proposal market are taken to a voting stage where all users votes are considered,No,,158,4 - Often Interdependent with Other Issues,,,Make public decisions (i.e. exert direct authority),Online via internet and mobile using idea market and proxy-voting,en,2010-05-25T17:17:53,Information market: Users are both pitching new proposals,Yes,,,2011-12-13T22:50:26
Achieving Public Goods,,,No,,159,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Raise public awareness,,en,2010-05-22T00:59:43,,Yes,,Individual,2011-12-13T22:50:26
Achieving Public Goods,,Voting,Yes,Agenda Formation,160,2 - Seldom Tied to Other Issues,2 - Not Very Polarized,,Co-governance (i.e. to share decision making with public authorities),Small and large group discussion,en,2010-06-02T07:41:15,Solutions to public policy issues are created and assessed,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-22T00:26:46
Providing Social Goods,Express opinions/preferences only,Voting,Yes,,161,4 - Often Interdependent with Other Issues,1 - Not Polarized,,Co-governance (i.e. to share decision making with public authorities),,en,2010-06-01T05:06:32,Interpersonal Deliberation and Strengthening Community Associations,Yes,,Community Based Organization,2011-12-13T22:50:26
Achieving Public Goods,,Decisions are made by the officials presiding over the hearing.,Yes,Decision-Making,162,,3 - Somewhat Polarized,,Consultation (i.e. to advise decision makers),,en,2010-06-02T08:35:14,,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-13T22:50:26
Achieving Public Goods,Discussion,Desicision and suggestions are constructed through consensus,Yes,,163,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Raise public awareness,Conference,en,2010-06-03T16:35:02,Public Conference helf for panel,Yes,,Community Based Organization,2012-11-10T22:22:50
Achieving Public Goods,Other,Voting,No,,164,,,,Make public decisions (i.e. exert direct authority),,en,2010-06-03T00:37:48,Marketing,Yes,,,2012-06-19T02:28:10
Distributing Individual Material Goods,Express opinions/preferences only,The state government takes the public&#039;s consensual health care policy concerns into consideration,No,Agenda Formation,165,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,Raise public awareness,Citizen&#039;s Assembly,en,2010-06-03T23:44:41,Citizens of the community interested in Oregon&#039;s health care policies gather in a forum to provide input on their values concerning medical practice guidelines,Yes,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2011-12-13T22:50:26
Achieving Public Goods,,Voting,Yes,Implementation,166,4 - Often Interdependent with Other Issues,2 - Not Very Polarized,,Consultation (i.e. to advise decision makers),Social Media,en,2010-06-04T16:38:41,Social networking,Yes,,Academic Institution,2011-12-21T23:24:34
Providing Social Goods,,,Yes,,167,3 - Sometimes Interdependent on Other Issues,4 - Polarized,,,Online and/or Face to face conversation,en,2010-06-03T23:30:47,Depends on the organization/citizens who host the World Cafe,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-13T22:50:26
Providing Social Goods,Discussion,Several solutions are proposed and then discussed,Yes,Decision-Making,168,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Raise public awareness,Deliberation,en,2010-06-04T14:50:49,Connect through Social Networks,Yes,,Community Based Organization,2013-08-17T22:12:47
Achieving Public Goods,Discussion,Voting by standing vote,Yes,Decision-Making,169,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),Face-to-face,en,2010-06-04T23:17:22,The media often covers parliamentary hearings,Yes,,National Government,2011-12-13T22:50:26
Achieving Public Goods,Dialogue,There are many ways in which Citizen Advisory Boards make decisions.,No,Decision-Making,170,2 - Seldom Tied to Other Issues,5 - Very Polarized,,Consultation (i.e. to advise decision makers),,en,2010-06-04T20:05:04,Citizen Advisory Boards typically communicate their findings to local government officials.,Yes,,"Local Government (e.g. Village, Town, City)",2013-07-27T11:38:06
Providing Social Goods,or Deliberation,Each city has a different way of going about voting on their decisions. Majority of decisions are made through polls/voting,Yes,Decision-Making,171,5 - Always Tied to Other Issues,2 - Not Very Polarized,,Consultation (i.e. to advise decision makers),Community Meetings,en,2010-06-04T23:53:55,This method uses different organizations to promote their goal. Each organization typically conducts some sort of public gathering for conversation/deliberative,Yes,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-02-14T16:28:12
Achieving Public Goods,,Consensus,Yes,Preference Articulation,172,5 - Always Tied to Other Issues,5 - Very Polarized,,Raise public awareness,Simulated Hearing,en,2010-06-04T22:41:21,Interpersonal,Yes,,Community Based Organization,2011-12-13T22:50:26
,,,No,,173,,,,,,en,2010-08-28T02:08:51,,Yes,,,2011-12-01T19:31:01
Providing Social Goods,Negotiate &amp; Bargain,,No,Preference Articulation,174,5 - Always Tied to Other Issues,2 - Not Very Polarized,,Raise public awareness,Workshops,en,2010-06-29T04:29:01,Social Network (Internet),Yes,,,2011-12-14T20:27:22
,,,No,,175,,,,,,en,2010-08-31T01:32:33,,Yes,,,2011-12-21T23:17:14
,,,No,,176,,,,,,en,2010-09-13T19:43:41,,Yes,,,2011-12-21T23:15:45
,,,No,,177,,,,,,en,2010-09-29T17:22:22,,Yes,,,2011-12-13T22:50:26
Addressing Identity-Based Issues,,Current pop-up art practices focus on community and social capital building rather than decision making.  Future practices in pop-up democracy could change this trend.,Yes,Agenda Formation,179,,,,Raise public awareness,,en,2010-12-03T10:38:38,Pop-up democracy is itself a model for public interaction.,Yes,,Academic Institution,2011-12-13T22:50:26
Providing Social Goods,or Deliberation,Typically Voting,Yes,Agenda Formation,180,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,Co-governance (i.e. to share decision making with public authorities),,en,2010-12-01T08:11:37,Public Hearings,Yes,,"Local Government (e.g. Village, Town, City)",2013-07-27T11:36:46
,,In Socratic Cafés,Yes,,181,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,"Develop individual capacities (e.g. skills, learning)",Democratic discussion--participant directed,en,2010-12-07T04:18:11,The main purpose of Socratic Cafés is not to broadcast decisions to the public,Yes,,Other,2016-08-29T21:56:04
Addressing Identity-Based Issues,Discussion,Voting,No,Agenda Formation,182,3 - Sometimes Interdependent on Other Issues,2 - Not Very Polarized,,Raise public awareness,,en,2010-12-07T08:20:19,Sessions for discussing issues,Yes,,National Government,2011-12-22T00:25:23
Providing Social Goods,Discussion,Expert Selection Process,Yes,Implementation,183,2 - Seldom Tied to Other Issues,1 - Not Polarized,,Raise public awareness,Internet,en,2010-12-07T12:32:14,Internet,Yes,,Other,2011-12-13T22:50:26
Providing Social Goods,,,Yes,Preference Articulation,184,4 - Often Interdependent with Other Issues,5 - Very Polarized,,"Develop individual capacities (e.g. skills, learning)",Talking Object,en,2010-12-07T13:17:09,Press Releases,Yes,,Individual,2011-12-13T22:50:26
,or Deliberation,Vote by Assembly,Yes,,185,,,,Raise public awareness,Open Debate,en,2010-06-08T09:04:02,,Yes,,"Local Government (e.g. Village, Town, City)",2011-12-22T00:35:51
Achieving Public Goods,,,Yes,,186,1 - Always Isolated and Usually Not tied to Other Issues,3 - Somewhat Polarized,,,,en,2010-12-07T17:23:54,,Yes,,Individual,2011-12-13T22:50:26
Achieving Public Goods,Express opinions/preferences only,Consensus and Executive Decision,No,Implementation,187,3 - Sometimes Interdependent on Other Issues,2 - Not Very Polarized,,Consultation (i.e. to advise decision makers),,en,2010-12-07T18:41:06,Criers,Yes,,National Government,2011-12-13T22:50:26
Achieving Public Goods,,list of solutions narrowed into several proposals during final large group discussion,Yes,Implementation,188,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,,"Develop individual capacities (e.g. skills, learning)",small group discussion,en,2010-12-07T16:30:40,communication by word of mouth,Yes,,Academic Institution,2012-06-28T04:20:02
Providing Social Goods,,,Yes,Agenda Formation,189,3 - Sometimes Interdependent on Other Issues,1 - Not Polarized,,Raise public awareness,Events,en,2010-12-08T03:53:04,Each local government has their own website to spread the word locally,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2011-12-13T22:50:26
Achieving Public Goods,or Deliberation,most cases unanimous decision by voting,Yes,Implementation,190,4 - Often Interdependent with Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),,en,2010-12-08T04:00:17,,Yes,,"Regional Government (e.g. State, Provincial, Territorial)",2011-12-13T22:50:26
Providing Social Goods,or Deliberation,,No,,191,,,,Make public decisions (i.e. exert direct authority),,en,2010-12-08T21:06:24,,Yes,,,2012-06-09T05:47:46
Achieving Public Goods,,,No,,192,,,,Make public decisions (i.e. exert direct authority),,en,2010-12-26T04:07:51,,Yes,,,2011-12-13T22:50:26
,,voting,No,,194,,,,Make public decisions (i.e. exert direct authority),,en,2011-05-22T19:37:39,,Yes,,,2011-12-14T00:14:26
Distributing Individual Material Goods,,internet voting ,Yes,,195,2 - Seldom Tied to Other Issues,3 - Somewhat Polarized,,Make public decisions (i.e. exert direct authority),,en,2011-07-01T17:05:51,internet discussions,Yes,,,2011-12-14T00:15:26
,,,No,,196,,,,,,en,2010-09-28T16:30:12,,Yes,,,2011-12-21T23:19:55
Addressing Identity-Based Issues,,,Yes,Implementation,197,5 - Always Tied to Other Issues,1 - Not Polarized,,Raise public awareness,Direct  or through communities of practices,en,2011-07-31T21:13:34,,Yes,,Individual,2011-12-13T22:50:26
,,,,,198,,,,,,de,2011-11-11T21:38:05,,Yes,,,2012-11-02T14:46:57
,,,No,,387,,,,,,en,2011-11-30T17:20:28,,Yes,,,2011-12-01T19:31:01
,,,No,,399,,,,,,en,2011-12-02T22:42:45,,Yes,,,2012-01-26T00:36:50
,,,No,,428,,,,,,en,2011-12-20T22:09:51,,Yes,,,2011-12-20T22:09:51
,,,No,,441,,,,,,en,2011-12-24T01:17:25,,Yes,,,2011-12-24T01:17:25
,Discussion,ranking,Yes,Implementation,448,3 - Sometimes Interdependent on Other Issues,,4 - Quite Complex,Community building (e.g. social capital),,en,2011-12-27T00:14:51,,Yes,"Regional Government (e.g. State, Provincial, Territorial)",National Government,2011-12-27T05:12:20
,,,No,,457,,,,,,en,2011-12-30T19:17:38,,Yes,,,2011-12-30T19:17:38
,,,No,,459,,,,,,en,2011-12-30T19:22:09,,Yes,,,2011-12-30T19:22:09
,,,No,,474,,,,,,en,2012-01-10T07:33:02,,Yes,,,2012-01-10T07:33:02
,,,No,,484,,,,,,en,2012-01-11T10:50:44,,Yes,,,2012-01-14T10:22:01
,,,No,,514,,,,,,en,2012-01-28T14:05:53,,Yes,,,2012-01-28T14:05:53
,or Deliberation,Consensus,Yes,,518,,,,Direct delivery of public services (i.e. by entities other than government),,en,2012-01-31T20:02:54,,Yes,,,2015-06-29T18:29:14
,Negotiate &amp; Bargain,,No,Conflict Resolution,520,,,,Co-governance (i.e. to share decision making with public authorities),,en,2012-02-09T17:34:37,,Yes,Union,National Government,2012-03-01T19:02:04
Achieving Public Goods,Discussion,reading and commenting,No,Decision-Making,521,4 - Often Interdependent with Other Issues,4 - Polarized,4 - Quite Complex,Consultation (i.e. to advise decision makers),voting,en,2012-02-13T01:04:53,media notices,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2012-02-13T05:25:24
,,,No,,1278,,,,,,en,2013-09-07T21:14:50,,Yes,,,2013-09-07T21:14:50
